CCDS_r9	CCDS_r11	CCDS_r12	CCDS_r14	CCDS_r15	RVIS_ExAC_0.05%(AnyPopn)	%RVIS_ExAC_0.05%(AnyPopn)
PEX10	PEX10	PEX10	PEX10	PEX10	0.757984566	86.30203
PANK4	PANK4	PANK4	PANK4	PANK4	-1.399718661	4.535871333
ACTRT2	ACTRT2	ACTRT2	ACTRT2	ACTRT2	-0.022406856	48.75609903
ARHGEF16	ARHGEF16	ARHGEF16	ARHGEF16	ARHGEF16	0.70674532	85.10330703
TPRG1L	TPRG1L	TPRG1L	TPRG1L	TPRG1L	-0.286382847	31.95590627
WRAP73	WRAP73	WRAP73	WRAP73	WRAP73	-0.093948537	43.78049515
TP73	TP73	TP73	TP73	TP73	-1.476420359	4.072043853
CCDC27	CCDC27	CCDC27	CCDC27	CCDC27	1.467525132	96.08457322
LRRC47	LRRC47	LRRC47	LRRC47	LRRC47	-0.413690036	25.50448768
DFFB	DFFB	DFFB	DFFB	DFFB	0.156757745	61.23727486
C1orf174	C1orf174	C1orf174	C1orf174	C1orf174	0.941695767	90.00662611
AJAP1	AJAP1	AJAP1	AJAP1	AJAP1	0.48259553	77.51942654
KCNAB2	KCNAB2	KCNAB2	KCNAB2	KCNAB2	-0.472265029	22.86006867
CHD5	CHD5	CHD5	CHD5	CHD5	-2.785580439	0.825251491
RPL22	RPL22	RPL22	RPL22	RPL22	0.029773849	52.47876634
RNF207	RNF207	RNF207	RNF207	RNF207	1.39534688	95.5062948
ICMT	ICMT	ICMT	ICMT	ICMT	0.086160928	56.35805072
GPR153	GPR153	GPR153	GPR153	GPR153	0.250007175	66.42370942
ACOT7	ACOT7	ACOT7	ACOT7	ACOT7	-0.969788141	9.457261611
ESPN	ESPN	ESPN	ESPN	ESPN	-0.060833893	46.11168002
TNFRSF25	TNFRSF25	TNFRSF25	TNFRSF25	TNFRSF25	-0.048645144	46.82850431
PLEKHG5	PLEKHG5	PLEKHG5	PLEKHG5	PLEKHG5	0.901392735	89.25365942
NOL9	NOL9	NOL9	NOL9	NOL9	-0.241400552	34.61237275
TAS1R1	TAS1R1	TAS1R1	TAS1R1	TAS1R1	1.331930027	95.00632492
ZBTB48	ZBTB48	ZBTB48	ZBTB48	ZBTB48	-1.683435972	2.975724354
PHF13	PHF13	PHF13	PHF13	PHF13	-0.52271897	20.80597554
THAP3	THAP3	THAP3	THAP3	THAP3	0.46760378	76.88693452
DNAJC11	DNAJC11	DNAJC11	DNAJC11	DNAJC11	-0.768901508	13.55942413
VAMP3	VAMP3	VAMP3	VAMP3	VAMP3	-0.156890075	39.47352569
PER3	PER3	PER3	PER3	PER3	0.289371139	68.66453828
UTS2	UTS2	UTS2	UTS2	UTS2	0.795020581	87.16342389
TNFRSF9	TNFRSF9	TNFRSF9	TNFRSF9	TNFRSF9	0.331394072	70.79091621
PARK7	PARK7	PARK7	PARK7	PARK7	0.130520552	59.56870068
ERRFI1	ERRFI1	ERRFI1	ERRFI1	ERRFI1	-0.623628092	17.54111198
RERE	RERE	RERE	RERE	RERE	-2.692017503	0.885488826
ENO1	ENO1	ENO1	ENO1	ENO1	-0.59879134	18.45069574
SLC2A7	SLC2A7	SLC2A7	SLC2A7	SLC2A7	0.899350482	89.22956448
SLC2A5	SLC2A5	SLC2A5	SLC2A5	SLC2A5	0.517894048	79.00728872
GPR157	GPR157	GPR157	GPR157	GPR157	0.272659895	67.68869345
H6PD	H6PD	H6PD	H6PD	H6PD	2.030365183	98.30130715
SPSB1	SPSB1	SPSB1	SPSB1	SPSB1	-0.666428769	16.35443648
SLC25A33	SLC25A33	SLC25A33	SLC25A33	SLC25A33	0.026645178	52.22576953
PIK3CD	PIK3CD	PIK3CD	PIK3CD	PIK3CD	-1.792662593	2.548039275
CLSTN1	CLSTN1	CLSTN1	CLSTN1	CLSTN1	-1.521163557	3.806999578
CTNNBIP1	CTNNBIP1	CTNNBIP1	CTNNBIP1	CTNNBIP1	0.103500998	57.58086862
LZIC	LZIC	LZIC	LZIC	LZIC	0.02446117	52.07517619
NMNAT1	NMNAT1	NMNAT1	NMNAT1	NMNAT1	-0.159234776	39.29883742
RBP7	RBP7	RBP7	RBP7	RBP7	0.280322155	68.10433106
UBE4B	UBE4B	UBE4B	UBE4B	UBE4B	-1.147752388	7.005602072
KIF1B	KIF1B	KIF1B	KIF1B	KIF1B	-2.703038252	0.873441359
PGD	PGD	PGD	PGD	PGD	-0.842631907	11.90892115
APITD1-CORT	APITD1-CORT	APITD1-CORT	APITD1-CORT	APITD1-CORT	-0.310437986	30.79934944
APITD1	APITD1	APITD1	APITD1	APITD1	0.041018741	53.26787543
CORT	CORT	CORT	CORT	CORT	-0.066605292	45.75627974
DFFA	DFFA	DFFA	DFFA	DFFA	0.186124399	62.97813385
CASZ1	CASZ1	CASZ1	CASZ1	CASZ1	-0.622956691	17.55315945
TARDBP	TARDBP	TARDBP	TARDBP	TARDBP	-0.413532501	25.52255888
MASP2	MASP2	MASP2	MASP2	MASP2	1.116021647	92.59080778
SRM	SRM	SRM	SRM	SRM	-0.273574099	32.70887296
EXOSC10	EXOSC10	EXOSC10	EXOSC10	EXOSC10	0.008199729	50.91861936
MTOR	MTOR	MTOR	MTOR	MTOR	-5.063294418	0.090356003
ANGPTL7	ANGPTL7	ANGPTL7	ANGPTL7	ANGPTL7	0.102555163	57.47846515
UBIAD1	UBIAD1	UBIAD1	UBIAD1	UBIAD1	-0.436181884	24.49250045
FBXO2	FBXO2	FBXO2	FBXO2	FBXO2	0.007121518	50.85838203
FBXO44	FBXO44	FBXO44	FBXO44	FBXO44	0.726434352	85.59122944
FBXO6	FBXO6	FBXO6	FBXO6	FBXO6	0.317801809	70.13432926
MAD2L2	MAD2L2	MAD2L2	MAD2L2	MAD2L2	-0.310437986	30.79934944
C1orf187	DRAXIN	DRAXIN	DRAXIN	DRAXIN	0.894983273	89.15125595
AGTRAP	AGTRAP	AGTRAP	AGTRAP	AGTRAP	0.62490469	82.77814589
MTHFR	MTHFR	MTHFR	MTHFR	MTHFR	0.138474617	60.02048069
CLCN6	CLCN6	CLCN6	CLCN6	CLCN6	-1.73626941	2.782964882
NPPA	NPPA	NPPA	NPPA	NPPA	0.501502967	78.2844407
NPPB	NPPB	NPPB	NPPB	NPPB	0.650526106	83.45882778
KIAA2013	KIAA2013	KIAA2013	KIAA2013	KIAA2013	-0.200628321	36.87127281
PLOD1	PLOD1	PLOD1	PLOD1	PLOD1	0.619269505	82.57936269
MIIP	MIIP	MIIP	MIIP	MIIP	1.168823227	93.28956087
TNFRSF8	TNFRSF8	TNFRSF8	TNFRSF8	TNFRSF8	-0.115036271	42.20227697
TNFRSF1B	TNFRSF1B	TNFRSF1B	TNFRSF1B	TNFRSF1B	0.275625596	67.85133426
DHRS3	DHRS3	DHRS3	DHRS3	DHRS3	0.615841947	82.44081682
C1orf158	C1orf158	C1orf158	C1orf158	C1orf158	0.694885237	84.77200169
PRAMEF1	PRAMEF1	PRAMEF1	PRAMEF1	PRAMEF1	2.967451208	99.40967412
PRAMEF2	PRAMEF2	PRAMEF2	PRAMEF2	PRAMEF2	3.63240246	99.63255226
PRDM2	PRDM2	PRDM2	PRDM2	PRDM2	-0.015560001	49.23197398
KAZN	KAZN	KAZN	KAZN	KAZN	0.049754905	53.84615385
TMEM51	TMEM51	TMEM51	TMEM51	TMEM51	0.384815008	73.37509789
EFHD2	EFHD2	EFHD2	EFHD2	EFHD2	0.085378563	56.30986085
CTRC	CTRC	CTRC	CTRC	CTRC	0.681290972	84.35034034
CELA2A	CELA2A	CELA2A	CELA2A	CELA2A	0.582725863	81.37461599
CASP9	CASP9	CASP9	CASP9	CASP9	0.18534205	62.92994398
AGMAT	AGMAT	AGMAT	AGMAT	AGMAT	0.087562203	56.50262032
RSC1A1	RSC1A1	RSC1A1	RSC1A1	RSC1A1	1.295205638	94.68104331
SLC25A34	SLC25A34	SLC25A34	SLC25A34	SLC25A34	0.35091694	71.73664237
FBLIM1	FBLIM1	FBLIM1	FBLIM1	FBLIM1	-0.066766435	45.72013734
SPEN	SPEN	SPEN	SPEN	SPEN	-3.610484336	0.427685079
ZBTB17	ZBTB17	ZBTB17	ZBTB17	ZBTB17	-0.972133615	9.403048009
C1orf64	C1orf64	C1orf64	C1orf64	C1orf64	0.666300237	83.88048913
CLCNKA	CLCNKA	CLCNKA	CLCNKA	CLCNKA	0.840615047	88.19348232
CLCNKB	CLCNKB	CLCNKB	CLCNKB	CLCNKB	1.131022031	92.83175712
EPHA2	EPHA2	EPHA2	EPHA2	EPHA2	-0.329052877	29.78133847
ARHGEF19	ARHGEF19	ARHGEF19	ARHGEF19	ARHGEF19	0.416202632	74.79067526
RSG1	RSG1	RSG1	RSG1	RSG1	0.401372706	74.13408831
SPATA21	SPATA21	SPATA21	SPATA21	SPATA21	2.051722936	98.34949702
NECAP2	NECAP2	NECAP2	NECAP2	NECAP2	0.095840906	57.07487501
MFAP2	MFAP2	MFAP2	MFAP2	MFAP2	-0.004905577	50.03313053
ATP13A2	ATP13A2	ATP13A2	ATP13A2	ATP13A2	-0.734739894	14.49912656
SDHB	SDHB	SDHB	SDHB	SDHB	0.191437473	63.29739172
PADI2	PADI2	PADI2	PADI2	PADI2	0.55085008	80.21805915
PADI1	PADI1	PADI1	PADI1	PADI1	0.665974239	83.85639419
PADI3	PADI3	PADI3	PADI3	PADI3	2.504775347	99.13258237
PADI4	PADI4	PADI4	PADI4	PADI4	1.131801112	92.84982832
RCC2	RCC2	RCC2	RCC2	RCC2	-0.869656261	11.324619
ARHGEF10L	ARHGEF10L	ARHGEF10L	ARHGEF10L	ARHGEF10L	-0.797231254	12.93897958
ACTL8	ACTL8	ACTL8	ACTL8	ACTL8	0.601465648	81.92879947
IGSF21	IGSF21	IGSF21	IGSF21	IGSF21	-0.638001316	17.1314981
KLHDC7A	KLHDC7A	KLHDC7A	KLHDC7A	KLHDC7A	1.076815866	92.09686163
PAX7	PAX7	PAX7	PAX7	PAX7	-0.312160652	30.65477983
TAS1R2	TAS1R2	TAS1R2	TAS1R2	TAS1R2	0.814071724	87.5971327
ALDH4A1	ALDH4A1	ALDH4A1	ALDH4A1	ALDH4A1	0.400426735	74.07987471
UBR4	UBR4	UBR4	UBR4	UBR4	-8.78285343	0.006023734
EMC1	EMC1	EMC1	EMC1	EMC1	-0.475723953	22.75164147
MRTO4	MRTO4	MRTO4	MRTO4	MRTO4	-0.097535388	43.55761701
AKR7A3	AKR7A3	AKR7A3	AKR7A3	AKR7A3	1.208039422	93.83169689
AKR7A2	AKR7A2	AKR7A2	AKR7A2	AKR7A2	0.943876024	90.06686344
PQLC2	PQLC2	PQLC2	PQLC2	PQLC2	-0.292475751	31.61255346
NBL1	NBL1	NBL1	NBL1	NBL1	-0.186256481	37.69652431
HTR6	HTR6	HTR6	HTR6	HTR6	-0.306848218	30.97403771
TMCO4	TMCO4	TMCO4	TMCO4	TMCO4	1.733914123	97.34955726
RNF186	RNF186	RNF186	RNF186	RNF186	0.920605111	89.54279863
PLA2G2E	PLA2G2E	PLA2G2E	PLA2G2E	PLA2G2E	0.494007668	77.97120655
PLA2G2A	PLA2G2A	PLA2G2A	PLA2G2A	PLA2G2A	0.333743376	70.91139088
PLA2G5	PLA2G5	PLA2G5	PLA2G5	PLA2G5	-0.314186872	30.58249503
PLA2G2D	PLA2G2D	PLA2G2D	PLA2G2D	PLA2G2D	0.456360435	76.44720198
PLA2G2F	PLA2G2F	PLA2G2F	PLA2G2F	PLA2G2F	0.348734709	71.6523101
UBXN10	UBXN10	UBXN10	UBXN10	UBXN10	0.261415683	67.06222517
CAMK2N1	CAMK2N1	CAMK2N1	CAMK2N1	CAMK2N1	0.062889226	54.75573761
MUL1	MUL1	MUL1	MUL1	MUL1	-0.073481194	45.32257093
CDA	CDA	CDA	CDA	CDA	0.329212276	70.69453647
PINK1	PINK1	PINK1	PINK1	PINK1	0.47946615	77.36280947
DDOST	DDOST	DDOST	DDOST	DDOST	-0.528811667	20.57707367
KIF17	KIF17	KIF17	KIF17	KIF17	1.471793301	96.09662069
EIF4G3	EIF4G3	EIF4G3	EIF4G3	EIF4G3	-1.286347726	5.541834829
ECE1	ECE1	ECE1	ECE1	ECE1	-0.194857254	37.22667309
NBPF3	NBPF3	NBPF3	NBPF3	NBPF3	0.909975745	89.36811035
ALPL	ALPL	ALPL	ALPL	ALPL	-0.638001316	17.1314981
RAP1GAP	RAP1GAP	RAP1GAP	RAP1GAP	RAP1GAP	-0.601137205	18.33022107
CELA3B	CELA3B	CELA3B	CELA3B	CELA3B	1.864382271	97.88566954
CELA3A	CELA3A	CELA3A	CELA3A	CELA3A	1.047761147	91.70531896
CDC42	CDC42	CDC42	CDC42	CDC42	-0.210311488	36.33516053
WNT4	WNT4	WNT4	WNT4	WNT4	-0.457269498	23.52870309
ZBTB40	ZBTB40	ZBTB40	ZBTB40	ZBTB40	-1.144793821	7.059815674
EPHA8	EPHA8	EPHA8	EPHA8	EPHA8	-0.162073967	39.08198301
C1QA	C1QA	C1QA	C1QA	C1QA	0.188472005	63.11065598
C1QC	C1QC	C1QC	C1QC	C1QC	-0.389476927	26.83573279
C1QB	C1QB	C1QB	C1QB	C1QB	-0.171262023	38.5579182
EPHB2	EPHB2	EPHB2	EPHB2	EPHB2	-1.758156751	2.698632612
HTR1D	HTR1D	HTR1D	HTR1D	HTR1D	0.317019306	70.07409192
HNRNPR	HNRNPR	HNRNPR	HNRNPR	HNRNPR	-0.74625035	14.20998735
ZNF436	ZNF436	ZNF436	ZNF436	ZNF436	-0.412908334	25.54063008
ASAP3	ASAP3	ASAP3	ASAP3	ASAP3	-0.048187246	46.83452804
E2F2	E2F2	E2F2	E2F2	E2F2	-0.437744673	24.40214445
ID3	ID3	ID3	ID3	ID3	0.183941289	62.85765918
RPL11	RPL11	RPL11	RPL11	RPL11	-0.231399056	35.17257997
TCEB3	TCEB3	TCEB3	TCEB3	TCEB3	0.087399875	56.47852539
PITHD1	PITHD1	PITHD1	PITHD1	PITHD1	-0.165168851	38.96150834
LYPLA2	LYPLA2	LYPLA2	LYPLA2	LYPLA2	-0.22390157	35.60628878
GALE	GALE	GALE	GALE	GALE	-0.115656484	42.16613457
HMGCL	HMGCL	HMGCL	HMGCL	HMGCL	-0.47304596	22.83597374
FUCA1	FUCA1	FUCA1	FUCA1	FUCA1	-0.024591102	48.62960063
CNR2	CNR2	CNR2	CNR2	CNR2	-0.160798272	39.19643395
IL22RA1	IL22RA1	IL22RA1	IL22RA1	IL22RA1	0.13628989	59.88795856
IL28RA	IFNLR1	IFNLR1	IFNLR1	IFNLR1	-0.236088277	34.85934582
GRHL3	GRHL3	GRHL3	GRHL3	GRHL3	0.991204482	90.89813867
C1orf201	STPG1	STPG1	STPG1	STPG1	0.804694779	87.38630203
RCAN3	RCAN3	RCAN3	RCAN3	RCAN3	0.369040313	72.61008373
SRRM1	SRRM1	SRRM1	SRRM1	SRRM1	-0.571153023	19.34823203
CLIC4	CLIC4	CLIC4	CLIC4	CLIC4	-0.426341105	24.9503042
RUNX3	RUNX3	RUNX3	RUNX3	RUNX3	-0.386509188	26.94415999
SYF2	SYF2	SYF2	SYF2	SYF2	0.187689376	63.06848985
C1orf63	C1orf63	C1orf63	C1orf63	C1orf63	0.22298745	64.95994217
RHD	RHD	RHD	RHD	RHD	2.519299724	99.14462984
TMEM50A	TMEM50A	TMEM50A	TMEM50A	TMEM50A	0.255485516	66.74296729
MAN1C1	MAN1C1	MAN1C1	MAN1C1	MAN1C1	-0.741097901	14.31239082
C1orf135	AUNIP	AUNIP	AUNIP	AUNIP	0.504467324	78.4651527
PAQR7	PAQR7	PAQR7	PAQR7	PAQR7	0.226735611	65.18282031
STMN1	STMN1	STMN1	STMN1	STMN1	-0.053014371	46.58755497
PAFAH2	PAFAH2	PAFAH2	PAFAH2	PAFAH2	0.666914858	83.90458406
EXTL1	EXTL1	EXTL1	EXTL1	EXTL1	0.898569355	89.22354075
SLC30A2	SLC30A2	SLC30A2	SLC30A2	SLC30A2	0.157540076	61.29148846
TRIM63	TRIM63	TRIM63	TRIM63	TRIM63	0.213926368	64.51418589
PDIK1L	PDIK1L	PDIK1L	PDIK1L	PDIK1L	-0.322465662	30.10662008
ZNF593	ZNF593	ZNF593	ZNF593	ZNF593	0.074916302	55.59303656
CNKSR1	CNKSR1	CNKSR1	CNKSR1	CNKSR1	0.48993039	77.77844708
CEP85	CEP85	CEP85	CEP85	CEP85	0.039912245	53.17149569
SH3BGRL3	SH3BGRL3	SH3BGRL3	SH3BGRL3	SH3BGRL3	0.317968917	70.15240046
ZNF683	ZNF683	ZNF683	ZNF683	ZNF683	1.094306757	92.28359737
LIN28A	LIN28A	LIN28A	LIN28A	LIN28A	0.052263549	54.02084212
DHDDS	DHDDS	DHDDS	DHDDS	DHDDS	0.005557359	50.76802602
HMGN2	HMGN2	HMGN2	HMGN2	HMGN2	-0.086129591	44.37082103
RPS6KA1	RPS6KA1	RPS6KA1	RPS6KA1	RPS6KA1	-0.725322268	14.7220047
ARID1A	ARID1A	ARID1A	ARID1A	ARID1A	-3.169718989	0.602373351
PIGV	PIGV	PIGV	PIGV	PIGV	-0.393384038	26.64297331
SFN	SFN	SFN	SFN	SFN	0.080848026	56.01469791
GPN2	GPN2	GPN2	GPN2	GPN2	-0.139710657	40.68429613
GPATCH3	GPATCH3	GPATCH3	GPATCH3	GPATCH3	0.119732553	58.77356786
NR0B2	NR0B2	NR0B2	NR0B2	NR0B2	0.677543187	84.27203181
NUDC	NUDC	NUDC	NUDC	NUDC	-0.105814085	42.86488766
C1orf172	C1orf172	C1orf172	C1orf172	C1orf172	0.01523812	51.42461298
FAM46B	FAM46B	FAM46B	FAM46B	FAM46B	-0.417438547	25.31172821
SLC9A1	SLC9A1	SLC9A1	SLC9A1	SLC9A1	-0.997754644	9.017529065
WDTC1	WDTC1	WDTC1	WDTC1	WDTC1	-0.331684395	29.6247214
TMEM222	TMEM222	TMEM222	TMEM222	TMEM222	0.241892844	66.0622854
SYTL1	SYTL1	SYTL1	SYTL1	SYTL1	0.609744612	82.19384374
MAP3K6	MAP3K6	MAP3K6	MAP3K6	MAP3K6	-0.207217518	36.46165894
FCN3	FCN3	FCN3	FCN3	FCN3	0.974029428	90.59695199
CD164L2	CD164L2	CD164L2	CD164L2	CD164L2	0.098187906	57.21342088
GPR3	GPR3	GPR3	GPR3	GPR3	-0.16829518	38.7747726
WASF2	WASF2	WASF2	WASF2	WASF2	-0.239836704	34.69068128
FGR	FGR	FGR	FGR	FGR	-0.853878709	11.68001928
FAM76A	FAM76A	FAM76A	FAM76A	FAM76A	0.085378563	56.30986085
STX12	STX12	STX12	STX12	STX12	-0.062856836	45.99722908
PPP1R8	PPP1R8	PPP1R8	PPP1R8	PPP1R8	-0.265295341	33.19679537
RPA2	RPA2	RPA2	RPA2	RPA2	-0.117059506	42.09384977
XKR8	XKR8	XKR8	XKR8	XKR8	-0.135180413	40.90717427
EYA3	EYA3	EYA3	EYA3	EYA3	-0.510691234	21.22763689
PTAFR	PTAFR	PTAFR	PTAFR	PTAFR	0.009305669	51.0330703
ATPIF1	ATPIF1	ATPIF1	ATPIF1	ATPIF1	-0.153141433	39.75664117
SESN2	SESN2	SESN2	SESN2	SESN2	0.048352757	53.71965544
MED18	MED18	MED18	MED18	MED18	-0.11627782	42.14203964
RCC1	RCC1	RCC1	RCC1	RCC1	-0.74703147	14.17384495
TRNAU1AP	TRNAU1AP	TRNAU1AP	TRNAU1AP	TRNAU1AP	-0.414313318	25.46834528
RAB42	RAB42	RAB42	RAB42	RAB42	0.103500998	57.58086862
TAF12	TAF12	TAF12	TAF12	TAF12	0.202064403	64.03228721
GMEB1	GMEB1	GMEB1	GMEB1	GMEB1	-0.829041249	12.19203662
OPRD1	OPRD1	OPRD1	OPRD1	OPRD1	-0.423373122	25.0587314
EPB41	EPB41	EPB41	EPB41	EPB41	-0.018038554	49.04523824
SRSF4	SRSF4	SRSF4	SRSF4	SRSF4	-0.24436697	34.43166074
PTPRU	PTPRU	PTPRU	PTPRU	PTPRU	-2.037831654	1.861333655
MATN1	MATN1	MATN1	MATN1	MATN1	0.208613683	64.26721282
LAPTM5	LAPTM5	LAPTM5	LAPTM5	LAPTM5	0.5007195	78.26034576
PUM1	PUM1	PUM1	PUM1	PUM1	-1.833282371	2.451659539
NKAIN1	NKAIN1	NKAIN1	NKAIN1	NKAIN1	0.098970343	57.26763448
SNRNP40	SNRNP40	SNRNP40	SNRNP40	SNRNP40	-0.505380388	21.52882356
ZCCHC17	ZCCHC17	ZCCHC17	ZCCHC17	ZCCHC17	-0.2615466	33.41967351
FABP3	FABP3	FABP3	FABP3	FABP3	0.086160928	56.35805072
TINAGL1	TINAGL1	TINAGL1	TINAGL1	TINAGL1	-0.449772085	23.8539847
HCRTR1	HCRTR1	HCRTR1	HCRTR1	HCRTR1	0.184559793	62.87573038
PEF1	PEF1	PEF1	PEF1	PEF1	-0.105814085	42.86488766
BAI2	BAI2	BAI2	BAI2	BAI2	-1.268997389	5.6803807
SPOCD1	SPOCD1	SPOCD1	SPOCD1	SPOCD1	-0.014452515	49.28618758
PTP4A2	PTP4A2	PTP4A2	PTP4A2	PTP4A2	-0.032708307	48.01517981
KHDRBS1	KHDRBS1	KHDRBS1	KHDRBS1	KHDRBS1	-0.599416835	18.43864827
TMEM39B	TMEM39B	TMEM39B	TMEM39B	TMEM39B	-0.132213829	41.09993374
KPNA6	KPNA6	KPNA6	KPNA6	KPNA6	-0.530997824	20.50478887
TXLNA	TXLNA	TXLNA	TXLNA	TXLNA	0.127391202	59.32775134
CCDC28B	CCDC28B	CCDC28B	CCDC28B	CCDC28B	0.035706059	52.89440395
IQCC	IQCC	IQCC	IQCC	IQCC	0.562254659	80.7120053
TMEM234	TMEM234	TMEM234	TMEM234	TMEM234	0.048515287	53.77386904
EIF3I	EIF3I	EIF3I	EIF3I	EIF3I	-0.542244932	20.21564966
FAM167B	FAM167B	FAM167B	FAM167B	FAM167B	0.44136987	75.91108969
LCK	LCK	LCK	LCK	LCK	0.04163831	53.32208903
HDAC1	HDAC1	HDAC1	HDAC1	HDAC1	-0.629563751	17.40256611
MARCKSL1	MARCKSL1	MARCKSL1	MARCKSL1	MARCKSL1	0.043984803	53.4787061
TSSK3	TSSK3	TSSK3	TSSK3	TSSK3	0.04242045	53.39437383
BSDC1	BSDC1	BSDC1	BSDC1	BSDC1	-0.313563363	30.60658996
ZBTB8OS	ZBTB8OS	ZBTB8OS	ZBTB8OS	ZBTB8OS	0.139581853	60.0927655
RBBP4	RBBP4	RBBP4	RBBP4	RBBP4	-0.347302043	28.85368351
YARS	YARS	YARS	YARS	YARS	-0.615349168	17.80615626
HPCA	HPCA	HPCA	HPCA	HPCA	-0.284820613	32.05228601
TMEM54	TMEM54	TMEM54	TMEM54	TMEM54	0.324681237	70.4294922
RNF19B	RNF19B	RNF19B	RNF19B	RNF19B	-0.850129675	11.75230408
AK2	AK2	AK2	AK2	AK2	1.152434038	93.10884886
ADC	ADC	ADC	ADC	ADC	0.179247235	62.56851997
TRIM62	TRIM62	TRIM62	TRIM62	TRIM62	-0.186416163	37.63628697
ZNF362	ZNF362	ZNF362	ZNF362	ZNF362	-0.410564403	25.64905729
PHC2	PHC2	PHC2	PHC2	PHC2	-0.723140479	14.84247937
CSMD2	CSMD2	CSMD2	CSMD2	CSMD2	-2.632289778	0.939702428
C1orf94	C1orf94	C1orf94	C1orf94	C1orf94	0.327481815	70.56803807
GJB5	GJB5	GJB5	GJB5	GJB5	0.528520969	79.4891874
GJB4	GJB4	GJB4	GJB4	GJB4	1.925315933	98.09047648
GJB3	GJB3	GJB3	GJB3	GJB3	0.688786755	84.59128968
ZMYM6	ZMYM6	ZMYM6	ZMYM6	ZMYM6	-0.149715505	39.94940064
SFPQ	SFPQ	SFPQ	SFPQ	SFPQ	-0.688297251	15.86049033
ZMYM4	ZMYM4	ZMYM4	ZMYM4	ZMYM4	-1.15977883	6.867056201
KIAA0319L	KIAA0319L	KIAA0319L	KIAA0319L	KIAA0319L	-1.186007125	6.644178062
NCDN	NCDN	NCDN	NCDN	NCDN	-1.82482817	2.48780194
TFAP2E	TFAP2E	TFAP2E	TFAP2E	TFAP2E	0.252354286	66.58032649
PSMB2	PSMB2	PSMB2	PSMB2	PSMB2	0.011651944	51.1776399
C1orf216	C1orf216	C1orf216	C1orf216	C1orf216	0.393876916	73.80278296
CLSPN	CLSPN	CLSPN	CLSPN	CLSPN	0.961544619	90.36805012
EIF2C4	EIF2C4	AGO4	AGO4	AGO4	-1.45751154	4.210589724
EIF2C1	EIF2C1	AGO1	AGO1	AGO1	-1.692333103	2.927534486
EIF2C3	EIF2C3	AGO3	AGO3	AGO3	-0.928391661	10.16203843
TEKT2	TEKT2	TEKT2	TEKT2	TEKT2	1.173354224	93.36184567
ADPRHL2	ADPRHL2	ADPRHL2	ADPRHL2	ADPRHL2	-0.485854739	22.31793265
COL8A2	COL8A2	COL8A2	COL8A2	COL8A2	-0.294039195	31.52219746
TRAPPC3	TRAPPC3	TRAPPC3	TRAPPC3	TRAPPC3	0.074133921	55.53882296
THRAP3	THRAP3	THRAP3	THRAP3	THRAP3	-0.933870141	10.04758749
